City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
297,Merauke,ID,85.71,broken clouds,-8.4667,140.3333,
299,Maragogi,BR,78.04,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
310,Manacapuru,BR,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
311,Noumea,NC,84.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
315,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
322,Sibolga,ID,81.27,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
325,Lazaro Cardenas,MX,75.6,clear sky,17.9583,-102.2,quinta antigua
329,Manta,EC,76.78,few clouds,-0.95,-80.7333,Balandra Hotel
330,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
331,Omboue,GA,76.62,overcast clouds,-1.5746,9.2618,Hotel Olako
334,Luwuk,ID,87.03,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
336,Samarai,PG,82.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
339,Kavaratti,IN,80.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
345,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
349,Yaring,TH,85.14,scattered clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
366,Cockburn Town,TC,78.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
369,Mayumba,GA,76.62,overcast clouds,-3.432,10.6554,LIKWALE LODGE
388,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
389,Biak,ID,84.49,overcast clouds,-0.9131,122.8766,Penginapan Kim
393,Nabire,ID,84.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
397,Poum,NC,82.53,few clouds,-20.2333,164.0167,Gîte kajeon
398,Ocos,GT,81.32,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
407,Mitsamiouli,KM,82.83,overcast clouds,-11.3847,43.2844,Foyer ADM
409,Kirakira,SB,85.53,broken clouds,-10.4544,161.9205,SanBiz Lodge
412,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
431,Pundaguitan,PH,81.0,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
433,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
441,Allada,BJ,79.56,broken clouds,6.6655,2.1514,Royaume hotel d' Allada
446,Honiara,SB,88.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
447,Iraray,PH,82.83,broken clouds,8.9936,118.0511,
453,Mayor Pablo Lagerenza,PY,80.58,few clouds,-19.9309,-60.7718,
