City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Dedougou,BF,2022-01-10 02:33:41,12.4667,-3.4667,64.98,15,6,6.85,clear sky
60,Pingzhuang,CN,2022-01-10 02:33:41,42.0372,119.2889,13.44,45,10,11.12,clear sky
61,Vaskut,HU,2022-01-10 02:33:41,46.1078,18.9851,27.7,93,100,5.35,overcast clouds
62,Narsaq,GL,2022-01-10 02:33:42,60.9167,-46.05,17.82,88,97,3.47,overcast clouds
63,Qena,EG,2022-01-10 02:33:42,26.1615,32.7183,51.91,38,51,6.64,broken clouds
64,Barrow,US,2022-01-10 02:33:42,71.2906,-156.7887,-18.38,69,0,0.0,clear sky
65,Gopalpur,IN,2022-01-10 02:33:43,19.2667,84.9167,71.71,72,2,4.29,clear sky
66,Komsomolskiy,UZ,2022-01-10 02:33:43,40.4272,71.7189,38.12,65,75,2.3,haze
67,Portland,US,2022-01-10 02:32:39,45.5234,-122.6762,46.33,68,20,11.99,few clouds
68,Trairi,BR,2022-01-10 02:32:39,-3.2778,-39.2689,77.09,83,100,5.53,overcast clouds
69,Sungaipenuh,ID,2022-01-10 02:33:44,-2.0833,101.3833,71.17,86,100,0.94,overcast clouds
70,Marsa Matruh,EG,2022-01-10 02:33:45,31.3525,27.2453,52.0,82,40,25.32,sand
71,Iqaluit,CA,2022-01-10 02:29:50,63.7506,-68.5145,-25.31,74,0,10.0,clear sky
72,Husavik,IS,2022-01-10 02:33:45,66.0449,-17.3389,40.91,85,100,35.63,overcast clouds
73,Tura,IN,2022-01-10 02:33:46,25.5198,90.2201,69.31,50,20,1.14,few clouds
74,Jingdezhen,CN,2022-01-10 02:33:46,29.2947,117.2079,49.78,69,100,1.88,overcast clouds
75,Alekseyevsk,RU,2022-01-10 02:33:47,57.8406,108.3492,-13.97,87,76,2.82,broken clouds
76,Mar Del Plata,AR,2022-01-10 02:33:47,-38.0023,-57.5575,73.09,1,57,1.99,broken clouds
77,Port Elizabeth,ZA,2022-01-10 02:33:48,-33.918,25.5701,71.1,83,0,14.97,clear sky
78,Paeroa,NZ,2022-01-10 02:33:48,-37.3667,175.6667,84.06,51,100,8.05,overcast clouds
79,Kurkino,RU,2022-01-10 02:33:48,53.4257,38.6582,24.06,96,100,11.32,snow
80,Bluff,NZ,2022-01-10 02:31:25,-46.6,168.3333,69.8,85,85,11.39,overcast clouds
81,Arona,ES,2022-01-10 02:33:49,28.0996,-16.681,63.81,21,40,14.97,scattered clouds
82,The Valley,AI,2022-01-10 02:33:49,18.217,-63.0578,78.1,70,6,21.34,clear sky
83,Umiray,PH,2022-01-10 02:33:50,15.2206,121.4111,80.8,72,24,4.45,few clouds
84,Olafsvik,IS,2022-01-10 02:33:50,64.8945,-23.7142,40.3,90,100,27.85,heavy intensity rain
85,Vaini,TO,2022-01-10 02:30:27,-21.2,-175.2,78.96,94,100,10.36,overcast clouds
86,Tuatapere,NZ,2022-01-10 02:33:51,-46.1333,167.6833,69.82,68,67,5.61,broken clouds
87,Yumen,CN,2022-01-10 02:33:51,40.2833,97.2,21.24,53,0,7.31,clear sky
88,Kavieng,PG,2022-01-10 02:33:52,-2.5744,150.7967,84.22,69,100,7.74,overcast clouds
89,Jamestown,US,2022-01-10 02:33:52,42.097,-79.2353,26.24,56,100,11.99,overcast clouds
90,Corinto,GR,2022-01-10 02:33:52,37.9407,22.9573,53.46,89,100,7.78,overcast clouds
91,Georgetown,MY,2022-01-10 02:34:53,5.4112,100.3354,84.13,67,20,8.01,few clouds
92,Berlevag,NO,2022-01-10 02:34:53,70.8578,29.0864,32.16,70,100,26.62,overcast clouds
93,Aklavik,CA,2022-01-10 02:31:28,68.2191,-135.0107,-26.57,99,12,2.57,few clouds
94,Edd,ER,2022-01-10 02:34:54,13.9297,41.6925,77.72,66,3,19.08,clear sky
95,Batagay,RU,2022-01-10 02:34:54,67.6333,134.6333,-33.7,97,13,3.96,few clouds
96,Cidreira,BR,2022-01-10 02:34:55,-30.1811,-50.2056,72.0,74,31,15.93,scattered clouds
97,Lorengau,PG,2022-01-10 02:34:55,-2.0226,147.2712,83.48,70,99,9.55,overcast clouds
98,Korla,CN,2022-01-10 02:34:55,41.7597,86.1469,24.8,60,67,4.81,broken clouds
99,Necochea,AR,2022-01-10 02:30:05,-38.5473,-58.7368,79.03,46,88,18.86,overcast clouds
100,Ambon,ID,2022-01-10 02:34:56,-3.6954,128.1814,87.94,66,20,4.61,few clouds
101,Te Anau,NZ,2022-01-10 02:34:56,-45.4167,167.7167,71.04,62,81,5.91,broken clouds
102,Bredasdorp,ZA,2022-01-10 02:34:57,-34.5322,20.0403,65.52,82,69,12.66,broken clouds
103,Buluang,PH,2022-01-10 02:34:57,13.3068,123.3425,85.89,62,87,1.23,overcast clouds
