City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ribeira Grande,PT,2022-01-09 03:34:22,38.5167,-28.7,59.63,70,92,19.42
68,Hermanus,ZA,2022-01-09 03:34:23,-34.4187,19.2345,72.9,77,0,2.33
69,Timmins,CA,2022-01-09 03:34:24,48.4669,-81.3331,22.82,80,100,10.36
70,Honiara,SB,2022-01-09 03:34:25,-9.4333,159.95,84.88,74,40,8.63
71,Butaritari,KI,2022-01-09 03:34:26,3.0707,172.7902,79.39,83,100,15.41
72,Inhambane,MZ,2022-01-09 03:34:06,-23.865,35.3833,75.45,81,47,11.54
73,Quang Ngai,VN,2022-01-09 03:33:54,15.1167,108.8,76.06,81,95,4.68
74,Marquette,US,2022-01-09 03:34:28,46.5333,-87.6335,20.77,75,100,9.64
75,Guilin,CN,2022-01-09 03:34:28,25.2819,110.2864,46.51,78,100,4.85
76,Golden,US,2022-01-09 03:34:29,39.7555,-105.2211,36.19,69,40,3.0
77,Jumla,NP,2022-01-09 03:34:30,29.2747,82.1838,44.8,66,92,3.38
78,Kudahuvadhoo,MV,2022-01-09 03:34:31,2.6708,72.8944,81.63,74,76,11.74
79,Amazar,RU,2022-01-09 03:34:31,53.858,120.875,1.11,61,24,9.28
80,Castro,BR,2022-01-09 03:32:40,-24.7911,-50.0119,57.94,90,69,7.61
81,Chuy,UY,2022-01-09 03:34:33,-33.6971,-53.4616,67.59,72,0,11.48
82,Nome,US,2022-01-09 03:30:00,64.5011,-165.4064,1.47,55,0,13.8
83,Lagoa,PT,2022-01-09 03:34:34,39.05,-27.9833,58.89,69,82,14.47
84,Hithadhoo,MV,2022-01-09 03:34:35,-0.6,73.0833,81.81,73,89,5.7
85,Karratha,AU,2022-01-09 03:34:36,-20.7377,116.8463,95.58,33,0,12.28
86,Mersing,MY,2022-01-09 03:34:37,2.4312,103.8405,84.11,74,40,13.8
87,Upernavik,GL,2022-01-09 03:34:37,72.7868,-56.1549,8.2,95,100,8.72
88,Pochutla,MX,2022-01-09 03:34:38,15.7432,-96.4661,76.82,85,10,4.05
89,Saint-Augustin,CA,2022-01-09 03:34:39,51.226,-58.6502,-4.74,80,2,10.11
90,Guerrero Negro,MX,2022-01-09 03:30:01,27.9769,-114.0611,59.2,75,98,7.94
91,Opuwo,NA,2022-01-09 03:34:40,-18.0607,13.84,68.52,36,99,0.38
92,Milak,IN,2022-01-09 03:34:41,28.6167,79.1833,60.62,82,39,6.22
93,Bonavista,CA,2022-01-09 03:34:42,48.6499,-53.1147,22.12,69,100,32.86
94,Cheney,US,2022-01-09 03:32:00,47.4874,-117.5758,29.68,94,75,6.91
95,Murmashi,RU,2022-01-09 03:35:43,68.8154,32.8115,5.41,92,75,7.0
96,Carnarvon,AU,2022-01-09 03:35:44,-24.8667,113.6333,80.67,54,0,21.85
97,Lata,PT,2022-01-09 03:35:45,40.1629,-8.3327,53.82,90,73,1.05
98,Beringovskiy,RU,2022-01-09 03:35:45,63.05,179.3167,-7.53,97,75,9.71
99,Birigui,BR,2022-01-09 03:35:46,-21.2886,-50.34,65.98,85,12,10.83
100,Verdun,FR,2022-01-09 03:34:54,49.25,5.3333,40.08,85,100,22.73
101,Balashov,RU,2022-01-09 03:35:47,51.5502,43.1667,6.58,96,92,8.28
102,Gizo,SB,2022-01-09 03:33:58,-8.103,156.8419,84.54,71,12,7.11
103,Saint Marys,US,2022-01-09 03:35:49,30.7305,-81.5465,66.22,95,0,1.01
104,Champerico,GT,2022-01-09 03:35:50,14.3,-91.9167,78.04,74,98,5.44
105,Tasiilaq,GL,2022-01-09 03:35:50,65.6145,-37.6368,32.16,92,100,27.74
106,Hobyo,SO,2022-01-09 03:32:00,5.3505,48.5268,77.59,68,84,19.44
107,Rawson,AR,2022-01-09 03:35:52,-43.3002,-65.1023,78.4,43,85,9.22
108,Vila Franca Do Campo,PT,2022-01-09 03:35:53,37.7167,-25.4333,59.2,74,47,7.16
109,Thunder Bay,CA,2022-01-09 03:32:19,48.4001,-89.3168,23.29,77,100,12.66
110,Georgetown,MY,2022-01-09 03:35:54,5.4112,100.3354,87.73,67,20,7.0
111,Atar,MR,2022-01-09 03:35:55,20.5169,-13.0499,61.43,23,12,14.97
112,Maniitsoq,GL,2022-01-09 03:35:55,65.4167,-52.9,4.6,83,74,10.45
113,Thompson,CA,2022-01-09 03:35:57,55.7435,-97.8558,-12.84,77,75,11.5
114,Sao Filipe,CV,2022-01-09 03:32:53,14.8961,-24.4956,74.01,62,33,7.31
115,Kavaratti,IN,2022-01-09 03:35:59,10.5669,72.642,79.39,69,4,7.76
116,Bredasdorp,ZA,2022-01-09 03:35:59,-34.5322,20.0403,68.29,96,31,3.31
117,Cape Town,ZA,2022-01-09 03:31:37,-33.9258,18.4232,73.11,72,0,1.99
118,Marrakesh,MA,2022-01-09 03:36:01,31.6315,-8.0083,48.27,49,0,2.3
119,Roald,NO,2022-01-09 03:36:02,62.5833,6.1333,33.94,60,100,8.05
120,Mahebourg,MU,2022-01-09 03:36:03,-20.4081,57.7,80.26,94,40,3.44
121,Valenza,IT,2022-01-09 03:36:03,45.0141,8.6414,42.44,88,100,3.53
122,Spring Valley,US,2022-01-09 03:31:24,36.108,-115.245,56.59,31,0,3.0
123,Kavieng,PG,2022-01-09 03:36:05,-2.5744,150.7967,83.66,66,95,6.4
124,Jamestown,US,2022-01-09 03:36:06,42.097,-79.2353,33.39,37,100,7.0
125,Ternate,ID,2022-01-09 03:36:06,0.8,127.4,83.34,73,81,8.95
126,Troitskoye,RU,2022-01-09 03:36:08,52.9821,84.6757,19.83,88,100,5.95
127,Westport,US,2022-01-09 03:35:03,41.1415,-73.3579,30.76,61,0,11.01
